"Latest: Time (s)","Latest: Potential (V)","Latest: Current (A)","FFT: Time - Frequency (Hz)","FFT: Potential - FFT"
0,-3.38687896729,-0.217935489354,0,0.0193871907799
0.0001,-3.46584320068,-0.220420596861,0.6103515625,0.542847259998
0.0002,-3.53870391846,-0.222408682866,1.220703125,0.576408925871
0.0003,-3.60546112061,-0.224365705028,1.8310546875,0.235772715798
0.0004,-3.6693572998,-0.225359748031,2.44140625,0.0150887861781
0.0005,-3.7239074707,-0.226850812535,3.0517578125,0.0301296240729
0.0006,-3.77559661865,-0.227347834036,3.662109375,0.0132052828522
0.0007,-3.82118225098,-0.227844855538,4.2724609375,0.00487830894737
0.0008,-3.86066436768,-0.227844855538,4.8828125,0.0130472165265
0.0009,-3.90625,-0.227844855538,5.4931640625,0.00563568413522
0.001,-3.93657684326,-0.226850812535,6.103515625,0.00283186859179
0.0011,-3.95774841309,-0.225856769532,6.7138671875,0.0067600929972
0.0012,-3.97911071777,-0.224365705028,7.32421875,0.00661626038357
0.0013,-3.99417877197,-0.222874640524,7.9345703125,0.00932288875706
0.0014,-4.0002822876,-0.220917618362,8.544921875,0.0103593905795
0.0015,-4.00638580322,-0.218929532357,9.1552734375,0.00884221160737
0.0016,-4.00333404541,-0.21644442485,9.765625,0.00503026740762
0.0017,-3.99131774902,-0.212996338184,10.3759765625,0.000870298447942
0.0018,-3.97911071777,-0.210014209176,10.986328125,0.00191824171623
0.0019,-3.9608001709,-0.206069101009,11.5966796875,0.00123645831823
0.002,-3.93657684326,-0.202621014344,12.20703125,0.0021772752126
0.0021,-3.90625,-0.198644842333,12.8173828125,0.00413262271067
0.0022,-3.86066436768,-0.193705691163,13.427734375,0.00468280049657
0.0023,-3.82118225098,-0.189263561494,14.0380859375,0.0030540626779
0.0024,-3.77559661865,-0.183330367322,14.6484375,0.00175510684241
0.0025,-3.7239074707,-0.178360152308,15.2587890625,0.00295743476501
